Restoran Adı,Puan,Teslimat Süresi,Min. Tutar,Mutfak,Fiyat Aralığı,Minimum Tutar,Teslimat Ücreti,Minimum Sipariş,Mutfak Tipi,degerlendirme
Antidos Otantik Döner,2025-01-03 00:00:00,10–25 min,,,Uygun fiyat aralığı (₺),,"25,99 TL",300 TL,Döner,(500+)
Kaya Döner Bomonti,2025-03-04 00:00:00,20–35 min,,,Orta fiyat aralığı (₺₺),,"25,99 TL",300 TL,Döner,(100+)
Beyoğlu Halk Döner,2025-05-04 00:00:00,25–40 min,,,Uygun fiyat aralığı (₺),,Ücretsiz,500 TL,Döner,(30000+)
Kebo,2025-01-04 00:00:00,10–25 min,,,Uygun fiyat aralığı (₺),,"15,99 TL",300 TL,Döner,(500+)
Döner Evi,4,20–35 min,,,Orta fiyat aralığı (₺₺),,"25,99 TL",300 TL,Döner,(5000+)
Etibeyaz Döner,2025-09-03 00:00:00,10–25 min,,,Uygun fiyat aralığı (₺),,"25,99 TL",300 TL,Döner,(25000+)
Dürüm Molası Merkez,2025-01-04 00:00:00,10–25 min,,,Orta fiyat aralığı (₺₺),,"25,99 TL",300 TL,Döner,(2000+)
Dürüm Molası Hatay Usulü Döner (3. kayıt),2025-01-04 00:00:00,15–30 min,,,Orta fiyat aralığı (₺₺),,"25,99 TL",300 TL,Döner,(1000+)
Öz Hatay Usulü Döner & Sulu Yemek,Belirtilmemiş,10–25 min,,,Belirtilmemiş,,"15,99 TL",300 TL,Döner,Belirtilmemiş
46 Zurna Dürüm (2. kayıt),2025-09-03 00:00:00,15–30 min,,,Orta fiyat aralığı (₺₺),,"25,99 TL",300 TL,Döner,(500+)
Günaydın Köfte & Döner,2025-09-03 00:00:00,15–30 min,,,Orta fiyat aralığı (₺₺),,Ücretsiz,300 TL,Köfte,(100+)
Pa Döner,4,10–25 min,,,Uygun fiyat aralığı (₺),,Ücretsiz,300 TL,Döner,(1000+)
Mercan Döner,2025-08-02 00:00:00,10–25 min,,,Uygun fiyat aralığı (₺),,"25,99 TL",300 TL,Döner,(100+)
Hatay Soslu Döner,4,20–35 min,,,Uygun fiyat aralığı (₺),,Ücretsiz,150 TL,Döner,(1000+)
Burç Döner,2025-06-04 00:00:00,20–35 min,,,Orta fiyat aralığı (₺₺),,"25,99 TL",300 TL,Döner,(100+)
Meşhur Hatay Dürümcüsü,2025-04-04 00:00:00,20–35 min,,,Uygun fiyat aralığı (₺),,"25,99 TL",300 TL,Kebap & Türk Mutfağı,(1000+)
SR Döner,2025-07-03 00:00:00,15–30 min,,,Uygun fiyat aralığı (₺),,"25,99 TL",300 TL,Döner,(2000+)
Define Büfe,2025-01-04 00:00:00,25–40 min,,,Yüksek fiyat aralığı (₺₺₺),,Ücretsiz,1.000 TL,Tost & Sandviç,(4000+)
Doysos Hatay Usulü Döner,2025-02-04 00:00:00,10–25 min,,,Orta fiyat aralığı (₺₺),,"25,99 TL",300 TL,Döner,(1000+)
Reform Çağın Döneri,2025-07-03 00:00:00,20–35 min,,,Uygun fiyat aralığı (₺),,"25,99 TL",300 TL,Döner,(1000+)
Kuzey Köfte,2025-08-04 00:00:00,25–40 min,,,Orta fiyat aralığı (₺₺),,Ücretsiz,200 TL,Köfte,(2000+)
Etibeyaz Döner (2. kayıt),2025-01-04 00:00:00,20–35 min,,,Orta fiyat aralığı (₺₺),,Ücretsiz,490 TL,Döner,(45000+)
Döner Records,2025-07-03 00:00:00,25–40 min,,,Orta fiyat aralığı (₺₺),,"25,99 TL",300 TL,Döner,(500+)
Meşhur Hatay Dürümcüsü (2. kayıt),2025-01-04 00:00:00,10–25 min,,,Orta fiyat aralığı (₺₺),,"25,99 TL",300 TL,Döner,(500+)
Kızılkayalar Hamburger,2025-09-03 00:00:00,25–40 min,,,Uygun fiyat aralığı (₺),,"25,99 TL",300 TL,Burger,(500+)
Mixsos,2025-09-03 00:00:00,30–45 min,,,Belirtilmemiş,,"25,99 TL",300 TL,Döner,(100+)
Pilav Üstü,5,20–35 min,,,Uygun fiyat aralığı (₺),,Ücretsiz,160 TL,Pilav,(4000+)
ESS KATIK DÖNER,2025-06-03 00:00:00,10–25 min,,,Uygun fiyat aralığı (₺),,"25,99 TL",300 TL,Döner,-58
Bursa İskender,2025-05-03 00:00:00,15–30 min,,,Orta fiyat aralığı (₺₺),,"25,99 TL",300 TL,Döner,(100+)
Zengin Döner,2025-07-03 00:00:00,15–30 min,,,Orta fiyat aralığı (₺₺),,"25,99 TL",300 TL,Döner,(10000+)
Dürümle,4,15–30 min,,,Orta fiyat aralığı (₺₺),,Ücretsiz,300 TL,Kebap & Türk Mutfağı,(1000+)
Büfe De Büfe,2025-04-04 00:00:00,40–60 min,,,Uygun fiyat aralığı (₺),,Ücretsiz,350 TL,Burger,(1000+)
Frango Döner & Sauce (2. kayıt),2025-02-03 00:00:00,25–40 min,,,Uygun fiyat aralığı (₺),,"25,99 TL",300 TL,Döner,(1000+)
Tasty Food & Coffee,2025-07-04 00:00:00,15–30 min,,,Belirtilmemiş,,"25,99 TL",300 TL,Döner,-21
Usta Dönercim,2025-04-04 00:00:00,20–35 min,,,Orta fiyat aralığı (₺₺),,"25,99 TL",300 TL,Döner,(100+)
Morgül Büfe,2025-02-04 00:00:00,25–40 min,,,Orta fiyat aralığı (₺₺),,"25,99 TL",300 TL,Döner,(3000+)
Döner Bank,2025-01-03 00:00:00,15–30 min,,,Orta fiyat aralığı (₺₺),,"25,99 TL",300 TL,Döner,-24
Koç & Köşem Büfe,2025-08-03 00:00:00,30–45 min,,,Uygun fiyat aralığı (₺),,Ücretsiz,500 TL,Tost & Sandviç,(25000+)
Antiochia Sos Döner,Belirtilmemiş,15–30 min,,,Belirtilmemiş,,"25,99 TL",300 TL,Döner,Belirtilmemiş
Eos Döner Ortaköy,2025-08-03 00:00:00,20–35 min,,,Belirtilmemiş,,"25,99 TL",300 TL,Döner,-14
Tadım Sebzeli Döner,2025-03-04 00:00:00,20–35 min,,,Uygun fiyat aralığı (₺),,"25,99 TL",300 TL,Döner,(15000+)
Döndürüm,Belirtilmemiş,15–30 min,,,Belirtilmemiş,,"25,99 TL",300 TL,Döner,Belirtilmemiş
Döner Dürüm Merkezi,2025-02-04 00:00:00,25–40 min,,,Orta fiyat aralığı (₺₺),,Ücretsiz,350 TL,Döner,-47
Hataycan Döner,2025-01-04 00:00:00,10–25 min,,,Orta fiyat aralığı (₺₺),,"25,99 TL",300 TL,Döner,(100+)
Acı Baba Döner,2025-04-03 00:00:00,10–25 min,,,Uygun fiyat aralığı (₺),,"15,99 TL",300 TL,Döner,-51
Kebapçı Kazım,2025-06-04 00:00:00,35–55 min,,,Orta fiyat aralığı (₺₺),,Ücretsiz,1.000 TL,Kebap & Türk Mutfağı,(500+)
Doysos Hatay Dürümcüsü,4,20–35 min,,,Orta fiyat aralığı (₺₺),,"25,99 TL",300 TL,Döner,(100+)
Tacofit,2025-04-04 00:00:00,15–30 min,,,Yüksek fiyat aralığı (₺₺₺),,"15,99 TL",300 TL,Dünya Mutfağı,(35000+)
Eliz Et & Döner,Belirtilmemiş,15–30 min,,,Belirtilmemiş,,"25,99 TL",300 TL,Kebap & Türk Mutfağı,Belirtilmemiş
Öz Dünya Döner,2025-04-04 00:00:00,20–35 min,,,Uygun fiyat aralığı (₺),,Ücretsiz,350 TL,Döner,(5000+)
Türkiş Kafe,2025-07-03 00:00:00,15–30 min,,,Orta fiyat aralığı (₺₺),,"25,99 TL",300 TL,Döner,(1000+)
Oba Döner & Kavurma,2025-03-04 00:00:00,15–30 min,,,Uygun fiyat aralığı (₺),,"25,99 TL",300 TL,Döner,-35
Hacı Baba Döner,2025-08-03 00:00:00,10–25 min,,,Uygun fiyat aralığı (₺),,"15,99 TL",300 TL,Döner,-89
Kekik,2025-01-04 00:00:00,35–55 min,,,Orta fiyat aralığı (₺₺),,Ücretsiz,180 TL,Kebap & Türk Mutfağı,(45000+)
Hacıbaşar Kebap & Baklava,2025-02-04 00:00:00,25–40 min,,,Yüksek fiyat aralığı (₺₺₺),,Ücretsiz,500 TL,Kebap & Türk Mutfağı,(2000+)
Abi Döner Express,1,10–25 min,,,Uygun fiyat aralığı (₺),,"15,99 TL",300 TL,Döner,(2000+)
Dürümcü Süleyman Usta'nın Yeri,2025-07-04 00:00:00,40–60 min,,,Orta fiyat aralığı (₺₺),,Ücretsiz,400 TL,Kebap & Türk Mutfağı,(25000+)
Brkd Döner & Kebap,2025-05-03 00:00:00,20–35 min,,,Orta fiyat aralığı (₺₺),,"25,99 TL",300 TL,Döner,(100+)
Ballı Kapı Döner & Dürüm,2025-05-04 00:00:00,15–30 min,,,Belirtilmemiş,,Ücretsiz,300 TL,Döner,-35
Adanadan Dürüm & Kebap,2025-09-04 00:00:00,30–45 min,,,Belirtilmemiş,,Ücretsiz,0 TL,Kebap & Türk Mutfağı,(100+)
Saray Muhallebicisi 1935,2025-01-04 00:00:00,15–30 min,,,Orta fiyat aralığı (₺₺),,Ücretsiz,300 TL,Tatlı,(25000+)
Efes Döner İstanbul,2025-07-03 00:00:00,25–40 min,,,Uygun fiyat aralığı (₺),,"25,99 TL",300 TL,Döner,-62
Köfteci Yusuf,2025-06-03 00:00:00,15–30 min,,,Orta fiyat aralığı (₺₺),,"14,99 TL",300 TL,Köfte,(5000+)
İsos Döner,2025-03-03 00:00:00,20–35 min,,,Belirtilmemiş,,"25,99 TL",300 TL,Döner,-9
Kebapçı Etiler,2025-04-04 00:00:00,20–35 min,,,Yüksek fiyat aralığı (₺₺₺),,"25,99 TL",300 TL,Kebap & Türk Mutfağı,(1000+)
Dönerci Metin Usta,2025-05-03 00:00:00,10–25 min,,,Orta fiyat aralığı (₺₺),,"25,99 TL",300 TL,Döner,(3000+)
Şampiyon Döner,2025-02-04 00:00:00,20–35 min,,,Uygun fiyat aralığı (₺),,Ücretsiz,150 TL,Döner,(500+)
Köşem Döner & Büfe,Belirtilmemiş,10–25 min,,,Uygun fiyat aralığı (₺),,"25,99 TL",300 TL,Döner,Belirtilmemiş
Yeniyo Döner,2025-05-03 00:00:00,20–35 min,,,Uygun fiyat aralığı (₺),,"25,99 TL",300 TL,Döner,(100+)
Dönerci Hasan Usta,4,30–45 min,,,Orta fiyat aralığı (₺₺),,Ücretsiz,1.000 TL,Döner,-30
Pizza Coco Pazzo,2025-06-04 00:00:00,25–40 min,,Pizza,Orta fiyat aralığı,900 TL,Ücretsiz,,,(500+)
Pizza Bulls,2025-01-04 00:00:00,30–45 min,,Pizza,Orta fiyat aralığı,"299,90 TL",Ücretsiz,,,(4000+)
Domino's Pizza,2025-07-03 00:00:00,20–35 min,,Pizza,Orta fiyat aralığı,300 TL,Ücretsiz,,,(35000+)
Elif Pizza,2025-05-03 00:00:00,15–25 min,,Pizza,,300 TL,"15,99 TL",,,-39
Little Caesars Pizza,2025-06-03 00:00:00,25–40 min,,Pizza,Orta fiyat aralığı,300 TL,Ücretsiz,,,(45000+)
Hero's Pizza,2025-01-04 00:00:00,25–40 min,,Pizza,Orta fiyat aralığı,200 TL,Ücretsiz,,,(1000+)
Limos Pizza,2025-04-04 00:00:00,25–40 min,,Pizza,Orta fiyat aralığı,700 TL,Ücretsiz,,,(15000+)
Milano Pizza,2025-02-04 00:00:00,25–40 min,,Pizza,Yüksek fiyat aralığı,500 TL,Ücretsiz,,,(15000+)
Pizzam Express,2025-02-03 00:00:00,20–30 min,,Pizza,Orta fiyat aralığı,300 TL,"25,99 TL",,,(100+)
Pizza Roma,2025-04-04 00:00:00,25–40 min,,Pizza,Orta fiyat aralığı,700 TL,Ücretsiz,,,(100+)
Pasaport Pizza,2025-07-02 00:00:00,30–40 min,,Pizza,Yüksek fiyat aralığı,300 TL,"14,99 TL",,,(100+)
Pizza Coo,1900-01-04 00:00:00,15–25 min,,Pizza,,300 TL,"25,99 TL",,,-71
Pizza Station,1900-01-03 00:00:00,15–25 min,,Pizza,Orta fiyat aralığı,300 TL,"25,99 TL",,,(3000+)
Pizza Darts,2025-08-04 00:00:00,25–40 min,,Pizza,Yüksek fiyat aralığı,1.500 TL,Ücretsiz,,,(2000+)
Antepli Dayı Kürek Pizza,2025-04-04 00:00:00,25–40 min,,Pizza,,110 TL,Ücretsiz,,,-15
Express pide pizza,2025-02-04 00:00:00,40–60 min,,Pizza,Orta fiyat aralığı,50 TL,Ücretsiz,,,(100+)
Pizza Dart,2025-08-04 00:00:00,25–40 min,,Pizza,Yüksek fiyat aralığı,1.500 TL,Ücretsiz,,,(100+)
Fast Pizza,2025-04-03 00:00:00,40–60 min,,Pizza,Orta fiyat aralığı,3.000 TL,Ücretsiz,,,(100+)
Pizza Bianca Italiano,2025-08-04 00:00:00,30–45 min,,Pizza,,1.500 TL,Ücretsiz,,,-19
444 Pizza,2025-03-03 00:00:00,35–55 min,,Pizza,Yüksek fiyat aralığı,1.500 TL,Ücretsiz,,,(20000+)
Urfalı Hacı Usta Pizza,1900-01-05 00:00:00,50–70 min,,Pizza,,0 TL,Ücretsiz,,,-9
Fera Gurme Mutfak,2025-04-04 00:00:00,20–35 min,,Dünya Mutfağı,Orta fiyat aralığı,700 TL,Ücretsiz,,,-85
F. Chef Italiano Pizza,2025-08-03 00:00:00,50–70 min,,Pizza,Yüksek fiyat aralığı,500 TL,Ücretsiz,,,-50
Aleo Italiano Pizza & Pasta,2025-05-03 00:00:00,25–40 min,,Pizza,Yüksek fiyat aralığı,600 TL,Ücretsiz,,,-33
Aleo Very Italiano,2025-03-04 00:00:00,25–40 min,,Makarna,Yüksek fiyat aralığı,0 TL,Ücretsiz,,,-54
Mh Pizza & Döner,2025-01-03 00:00:00,40–60 min,,Pizza,Yüksek fiyat aralığı,1.199 TL,Ücretsiz,,,(10000+)
Antep Pizza,1900-01-04 00:00:00,30–40 min,,Pizza,Uygun fiyat aralığı,300 TL,"25,99 TL",,,-71
Öz Kekik Diyarı Pizza,2025-01-04 00:00:00,50–70 min,,Pizza,Orta fiyat aralığı,0 TL,Ücretsiz,,,(100+)
Abovv Pizza,2025-08-03 00:00:00,30–45 min,,Pizza,Uygun fiyat aralığı,400 TL,Ücretsiz,,,(100+)
Abba Pizza & Makarna,2025-05-03 00:00:00,20–35 min,,Pizza,Yüksek fiyat aralığı,600 TL,Ücretsiz,,,-11
Lezzet Molası,2025-08-04 00:00:00,15–30 min,,Tatlı,Orta fiyat aralığı,50 TL,Ücretsiz,,,-61
Çılgın Burger,,50–70 min,,Burger,,600 TL,Ücretsiz,,,
Ege'den,2025-02-04 00:00:00,30–45 min,,Kebap & Türk Mutfağı,Orta fiyat aralığı,400 TL,Ücretsiz,,,(500+)
Napoli Pizza,,25–35 min,,Pizza,,300 TL,"25,99 TL",,,
Etiler Marmaris,2025-03-04 00:00:00,20–35 min,,Tost & Sandviç,Orta fiyat aralığı,200 TL,Ücretsiz,,,(70000+)
Reyhan Pizza,2025-08-03 00:00:00,15–30 min,,Pizza,Uygun fiyat aralığı,100 TL,Ücretsiz,,,-50
Asyam Pizza,2025-08-04 00:00:00,55–75 min,,Pizza,,0 TL,Ücretsiz,,,-32
Casalingo Pizza,,50–70 min,,Pizza,,750 TL,Ücretsiz,,,
Öz Mevlana Pide,2025-05-04 00:00:00,25–40 min,,Pide & Lahmacun,Uygun fiyat aralığı,70 TL,Ücretsiz,,,-62
Şahane Lahmacun & Kebap,2025-04-04 00:00:00,40–60 min,,Kebap & Türk Mutfağı,Orta fiyat aralığı,100 TL,Ücretsiz,,,-53
Öz Gaziantep Pide Lahmacun,2025-07-04 00:00:00,35–55 min,,Pide & Lahmacun,Yüksek fiyat aralığı,100 TL,Ücretsiz,,,(500+)
Kardelen Kebap,2025-09-03 00:00:00,45–65 min,,Kebap & Türk Mutfağı,Uygun fiyat aralığı,200 TL,Ücretsiz,,,(100+)
Elif Pizza & Tandır Diyarı,1900-01-03 00:00:00,20–30 min,,Kebap & Türk Mutfağı,Uygun fiyat aralığı,300 TL,"25,99 TL",,,-8
İsot Çiğkofte Sofrasi,5,50–70 min,,Çiğ Köfte,,30 TL,Ücretsiz,,,-11
Hatay Kebap,2025-03-04 00:00:00,15–30 min,,Kebap & Türk Mutfağı,Uygun fiyat aralığı,100 TL,Ücretsiz,,,-63
4 Mevsim Salad,,25–40 min,,Salata,,0 TL,Ücretsiz,,,
As Öz Adıyaman,2025-06-04 00:00:00,25–40 min,,Çiğ Köfte,Uygun fiyat aralığı,110 TL,Ücretsiz,,,(100+)
Antakya Çıtır Pide & Lahmacun,2025-04-04 00:00:00,45–65 min,,Pide & Lahmacun,Yüksek fiyat aralığı,250 TL,Ücretsiz,,,(100+)
Ağam Pizza,2025-08-04 00:00:00,50–70 min,,Pizza,,0 TL,Ücretsiz,,,-32
Öz Hacıoğlu Lezzetleri,2025-02-04 00:00:00,30–45 min,,Steak,Orta fiyat aralığı,1.200 TL,Ücretsiz,,,-62
